[02:08:08] [INFO] received Windows console close event; shutting log-core down
[02:40:30] [INFO] received Windows console close event; shutting log-core down
[01:00:59] [INFO] received Windows console close event; shutting log-core down
[17:28:40] [INFO] received Windows console close event; shutting log-core down
[18:32:57] [INFO] received Windows console close event; shutting log-core down
[18:36:10] [INFO] received Windows console close event; shutting log-core down
[23:16:12] [INFO] received Windows console close event; shutting log-core down
[01:07:46] [INFO] received Windows console close event; shutting log-core down
[02:23:12] [INFO] received Windows console close event; shutting log-core down
[04:05:14] [INFO] received Windows console close event; shutting log-core down
[04:09:58] [INFO] received Windows console close event; shutting log-core down
[04:10:52] [INFO] received Windows console close event; shutting log-core down
[04:24:09] [INFO] received Windows console close event; shutting log-core down
[01:59:41] [INFO] received Windows console close event; shutting log-core down
[02:11:58] [INFO] received Windows console close event; shutting log-core down
[02:16:23] [INFO] received Windows console close event; shutting log-core down
[03:34:40] [INFO] received Windows console close event; shutting log-core down
[04:13:12] [INFO] received Windows console close event; shutting log-core down
[04:21:18] [INFO] received Windows console close event; shutting log-core down
[04:37:24] [INFO] received Windows console close event; shutting log-core down
[20:30:49] [INFO] received Windows console close event; shutting log-core down
[12:45:27] [INFO] received Windows console close event; shutting log-core down
[23:35:43] [INFO] received Windows console close event; shutting log-core down
[22:45:37] [INFO] received Windows console close event; shutting log-core down
[22:38:39] [INFO] received Windows console close event; shutting log-core down
[23:26:32] [INFO] received Windows console close event; shutting log-core down
[19:36:04] [INFO] received Windows console close event; shutting log-core down
[00:48:31] [INFO] received Windows console close event; shutting log-core down
[23:54:24] [INFO] received Windows console close event; shutting log-core down
[20:07:52] [INFO] received Windows console close event; shutting log-core down
[20:44:48] [INFO] received Windows console close event; shutting log-core down
